sex,age_class,equipment,weight_class,lift,record_kg,athlete,meet,date_iso,notes
M,AK2,Raw,120+,Bench,170,KERSCHBAUMER Bernd,"Weltmeisterschaft AK 1-4 KDK Minsk, Weißrussland",2017-06-25,
M,AK3,Raw,120+,Bench,117.5,HABERFELLNER Günter,"Europameisterschaft Masters KDK Budapest, Ungarn",2023-03-05,
M,AK4,Raw,120+,Bench,,,,,Rekord offen
M,Jugend,Raw,53,Deadlift,,,,,Rekord offen
M,Junioren,Raw,53,Deadlift,,,,,Rekord offen
M,Open,Raw,59,Deadlift,200,SAVUT Panha Vong,Staatsmeisterschaft Allg KDK Wien-Stadt,2025-09-07,
M,Jugend,Raw,59,Deadlift,150,BINDER Markus,"Int. Nachwuchsturnier KDK Stockerau, Nö",2014-07-20,
M,Junioren,Raw,59,Deadlift,200,SAVUT Panha Vong,Staatsmeisterschaft Allg KDK Wien-Stadt,2025-09-07,
M,AK1,Raw,59,Deadlift,195,REITINGER Christof,"Österr. Meisterschaft AK KDK Mayrwies, S",2021-07-25,
M,AK2,Raw,59,Deadlift,110,"FENZL Josef, sen.","3. RAW-Meisterschaft Allg KDK Stockerau, Nö",2011-06-05,
M,AK3,Raw,59,Deadlift,85,"FENZL Josef, II","Staatsmeisterschaft Allg KDK Amstetten, Nö",2021-09-05,
M,AK4,Raw,59,Deadlift,,,,,Rekord offen
M,Open,Raw,66,Deadlift,262.5,CATENA Joel,Staatsmeisterschaft Allg KDK Wien-Stadt,2025-09-07,
M,Jugend,Raw,66,Deadlift,210,WITTMANN Maxim,"Österr. Meisterschaft Nachwuchs KDK Scharnstein, Oö",2025-06-21,
M,Junioren,Raw,66,Deadlift,238,BALAZS Adrian,"Österr. Meisterschaft Jun KDK Frauenkirchen, B",2023-06-25,
M,AK1,Raw,66,Deadlift,225,WENKA Christian,"Europameisterschaft AK 1-4 KDK Albi, Frankreich",2020-03-13,
M,AK2,Raw,66,Deadlift,170,STADLHOFER Ewald,"Landesmeisterschaft St KDK Ottendorf, St",2020-08-22,
M,AK3,Raw,66,Deadlift,95,"FENZL Josef, II",Österr. Meisterschaft Nachwuchs KDK Wien-Stadt,2024-06-29,
M,AK4,Raw,66,Deadlift,,,,,Rekord offen
M,Open,Raw,74,Deadlift,285,JOCH Pascal,"Wiener Meisterschaft Allgeimein KDK Stockerau, Nö",2026-04-18,
M,Jugend,Raw,74,Deadlift,230,SCHIPEK Liuming,"Staatsmeisterschaft KDK Amstetten, Nö",2023-09-10,
M,Junioren,Raw,74,Deadlift,263,SCHRAMMEL Kurt Florian,"Österr. Meisterschaft Jun KDK Frauenkirchen, B",2023-06-25,
M,AK1,Raw,74,Deadlift,238,SCHOBER Johannes,"Österr. Meisterschaft Masters KDK Scharnstein, Oö",2025-06-21,
M,AK2,Raw,74,Deadlift,227.5,MÖTH Helmut,Österr. Meisterschaft Nachwuchs KDK Wien-Stadt,2024-06-29,
M,AK3,Raw,74,Deadlift,177.5,STROHOFER Werner,Staatsmeisterschaft Allg KDK Wien-Stadt,2017-12-17,
M,AK4,Raw,74,Deadlift,151,STROHOFER Werner,"Salzburger Meisterschaft KDK Grödig, S",2022-05-15,
M,Open,Raw,83,Deadlift,310,HIMMELBAUER David,Staatsmeisterschaft Allg KDK Wien-Stadt,2025-09-07,
M,Jugend,Raw,83,Deadlift,270,ZHOU Emilio,"Staatsmeisterschaft Allg KDK Amstetten, Nö",2023-09-10,
M,Junioren,Raw,83,Deadlift,307.5,SCHNELL Raffael,"Europameisterschaft Nachwuchs KDK Druskininkai, Litauen",2025-12-07,
M,AK1,Raw,83,Deadlift,247.5,MÖTH Helmut,"Staatsmeisterschaft Allg KDK Stockerau, Nö",2016-12-03,
M,AK2,Raw,83,Deadlift,236,WEGERER Michael,"Österr. Meisterschaft Masters KDK Amstetten, Nö",2026-06-07,
