Place,Name,BirthDate,BirthYear,Country,BodyweightKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,TotalKg,WeightClassKg,Division,Event,Sex,Equipment,_meet_name,_meet_date,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,Tested,Age,Team
8,Jürgen Kraushofer,,1993,Austria,78.76,175,-185,-185,175,175,83,Open,B,M,Raw,World Bench Press Championships,2019-05-18,,,,,,,,,,,
17,Sven Sigrist,,1988,Switzerland,72.97,125,132.5,-140,132.5,542.5,74,Open,SBD,M,Raw,World Classic Powerlifting Championships,2018-06-06,187.5,200,210,210,180,200,-225,200,,,
12,Michael Leitner,,1994,Austria,118.28,170,-175,175,175,772.5,120,Open,SBD,M,Raw,World Classic Powerlifting Championships,2018-06-06,260,277.5,-282.5,277.5,290,315,320,320,,,
5,René Hofer,,1997,Austria,82.15,-130,130,137.5,137.5,665,83,Juniors,SBD,M,Raw,World Classic Powerlifting Championships,2018-06-06,215,225,235,235,277.5,292.5,-300,292.5,,,
14,Catherine Lekić,,1982,Austria,50.57,52.5,57.5,60,60,300,52,Open,SBD,F,Raw,World Classic Powerlifting Championships,2018-06-06,95,100,102.5,102.5,122.5,132.5,137.5,137.5,,,
14,Martina Lang,,1988,Austria,56.67,75,80,82.5,82.5,355,57,Open,SBD,F,Raw,World Classic Powerlifting Championships,2018-06-06,125,-130,130,130,132.5,137.5,142.5,142.5,,,
7,Lara Lichtnecker,,1992,Austria,61.82,85,-90,-90,85,422.5,63,Open,SBD,F,Raw,World Classic Powerlifting Championships,2018-06-06,145,152.5,157.5,157.5,170,180,-187.5,180,,,
5,Viktoria Kotschwar,,2001,Austria,62.22,60,-65,-65,60,312.5,63,Sub-Juniors,SBD,F,Raw,World Classic Powerlifting Championships,2018-06-06,102.5,107.5,-112.5,107.5,130,137.5,145,145,,,
4,Pantea Supanetz,,1990,Austria,62.8,105,110,-112.5,110,110,63,Open,B,F,Raw,World Bench Press Championships,2024-05-22,,,,,,,,,,,
8,Thomas Wetzstein,,1974,Austria,96.1,165,-175,-182.5,165,165,105,Masters 2,B,M,Raw,World Bench Press Championships,2024-05-22,,,,,,,,,,,
4,Jürgen Kraushofer,,1993,Austria,81.9,-205,205,-212.5,205,205,83,Open,B,M,Raw,World Bench Press Championships,2024-05-22,,,,,,,,,,,
8,Matthias David Pitscheider,,2001,Austria,87.95,202.5,-212.5,-212.5,202.5,202.5,93,Open,B,M,Raw,World Classic & Equipped Bench Press Championships,2026-05-23,,,,,,,,,,,
11,Lukas Kreuzer,,1999,Austria,91.87,195,-205,-225,195,195,93,Open,B,M,Raw,World Classic & Equipped Bench Press Championships,2026-05-23,,,,,,,,,,,
5,Sonja Ruess,,1998,Austria,62.6,107.5,112.5,115,115,115,63,Open,B,F,Raw,World Classic & Equipped Bench Press Championships,2026-05-23,,,,,,,,,,,
3,Niklas Hutterer,,2007,Austria,81.47,185,192.5,195,195,195,83,Juniors,B,M,Raw,World Classic & Equipped Bench Press Championships,2026-05-23,,,,,,,,,,,
3,Jakob Grandl,,2005,Austria,92.19,192.5,-200,202.5,202.5,202.5,93,Juniors,B,M,Raw,World Classic & Equipped Bench Press Championships,2026-05-23,,,,,,,,,,,
3,Phillip Nikolic,,2004,Austria,146.38,207.5,-220,222.5,222.5,222.5,120+,Juniors,B,M,Raw,World Classic & Equipped Bench Press Championships,2026-05-23,,,,,,,,,,,
8,Desiree Schöpf,,2003,Austria,71.8,97.5,102.5,107.5,107.5,107.5,76,Juniors,B,F,Raw,World Classic & Equipped Bench Press Championships,2026-05-23,,,,,,,,,,,
4,Christian Klotz,,1977,Austria,108.25,192.5,205,215,215,215,120,Masters 1,B,M,Raw,World Classic & Equipped Bench Press Championships,2026-05-23,,,,,,,,,,,
4,Ingrid Walter,,1970,Austria,55.17,-67.5,67.5,70,70,70,57,Masters 2,B,F,Raw,World Classic & Equipped Bench Press Championships,2026-05-23,,,,,,,,,,,
1,Jana Kroiss,,1975,Austria,81.06,95,97.5,102.5,102.5,102.5,84,Masters 2,B,F,Raw,World Classic & Equipped Bench Press Championships,2026-05-23,,,,,,,,,,,
1,Siegfried Steinmeir,,1964,Austria,130.29,192.5,-202.5,202.5,202.5,202.5,120+,Masters 3,B,M,Raw,World Classic & Equipped Bench Press Championships,2026-05-23,,,,,,,,,,,
1,Dagmar Wang,,1948,Austria,50.51,52.5,55,57.5,57.5,57.5,52,Masters 4,B,F,Raw,World Classic & Equipped Bench Press Championships,2026-05-23,,,,,,,,,,,
9,Joel Christopher Catena,,1996,Spain,65.45,152.5,160,-165,160,650,66,Open,SBD,M,Raw,World Classic Powerlifting Championships,2026-06-13,217.5,232.5,237.5,237.5,235,252.5,-265,252.5,Yes,,
4,Dominik Fischer #2,,2003,Austria,91.79,137.5,145,150,150,640,93,Sub-Juniors,SBD,M,Raw,World Classic Powerlifting Championships,2021-09-23,-212.5,212.5,222.5,222.5,242.5,257.5,267.5,267.5,,,
16,Raffael Schnell,,2002,Austria,73.68,127.5,132.5,137.5,137.5,587.5,74,Juniors,SBD,M,Raw,World Classic Powerlifting Championships,2021-09-23,195,-205,205,205,230,-242.5,245,245,,,
6,Paul Egger,,1998,Austria,92.35,145,150,-152.5,150,747.5,93,Juniors,SBD,M,Raw,World Classic Powerlifting Championships,2021-09-23,255,265,272.5,272.5,302.5,322.5,325,325,,,
3,Ludwig Bachner,,1998,Austria,112.96,167.5,172.5,-175,172.5,775,120,Juniors,SBD,M,Raw,World Classic Powerlifting Championships,2021-09-23,270,282.5,290,290,290,312.5,-322.5,312.5,,,
2,Rene Brunner,,1976,Austria,104.29,175,182.5,187.5,187.5,782.5,105,Masters 1,SBD,M,Raw,World Classic Powerlifting Championships,2021-09-23,290,305,-315,305,275,290,-302.5,290,,,
12,Jan Simo,,1987,Austria,73.76,120,-125,125,125,602.5,74,Open,SBD,M,Raw,World Classic Powerlifting Championships,2021-09-23,210,220,225,225,252.5,-262.5,-267.5,252.5,,,
8,René Hofer,,1997,Austria,92.02,160,165,-170,165,765,93,Open,SBD,M,Raw,World Classic Powerlifting Championships,2021-09-23,260,272.5,282.5,282.5,300,317.5,-330,317.5,,,
9,Vinzenz Helmreich,,1990,Austria,104.8,162.5,170,-175,170,772.5,105,Open,SBD,M,Raw,World Classic Powerlifting Championships,2021-09-23,270,282.5,-290,282.5,295,320,-332.5,320,,,
10,Sophia Pilwax,,1999,Austria,61.78,77.5,82.5,85,85,412.5,63,Juniors,SBD,F,Raw,World Classic Powerlifting Championships,2021-09-23,137.5,142.5,145,145,167.5,175,182.5,182.5,,,
6,Barbara Gapp,,1981,Austria,51.86,60,65,67.5,67.5,380,52,Open,SBD,F,Raw,World Classic Powerlifting Championships,2021-09-23,110,117.5,122.5,122.5,175,190,-198,190,,,
13,Bianca Sullivan,,1986,Austria,74.84,97.5,102.5,-107.5,102.5,432.5,76,Open,SBD,F,Raw,World Classic Powerlifting Championships,2021-09-23,150,-155,-155,150,162.5,170,180,180,,,
2,Jürgen Kraushofer,,1993,Austria,82.3,200,-207.5,207.5,207.5,207.5,83,Open,B,M,Raw,World Classic & Equipped Bench Press Championships,2023-05-20,,,,,,,,,,30,
12,Jelena Bijelic,,1992,Austria,51.83,-95,95,-100,95,417.5,52,Open,SBD,F,Raw,World Classic Powerlifting Championships,2025-06-08,137.5,145,-150,145,170,177.5,-182.5,177.5,,,
11,Raphaela Jungmann,,1987,Austria,68.53,-105,105,110,110,492.5,69,Open,SBD,F,Raw,World Classic Powerlifting Championships,2025-06-08,170,180,-185,180,185,195,202.5,202.5,,,
7,Joel Christopher Catena,,1996,Austria,65.41,155,162.5,-167.5,162.5,657.5,66,Open,SBD,M,Raw,World Classic Powerlifting Championships,2025-06-08,220,232.5,240,240,242.5,255,-262.5,255,,,
15,Alain Jost,,1997,Switzerland,73.77,152.5,157.5,-160,157.5,645,74,Open,SBD,M,Raw,World Classic Powerlifting Championships,2025-06-08,210,225,232.5,232.5,255,-275,-275,255,,,
DQ,Thomas Jost #1,,1992,Austria,92.86,190,200,-202.5,200,,93,Open,SBD,M,Raw,World Classic Powerlifting Championships,2025-06-08,-260,-270,-270,,285,305,-315,305,,,
4,Markus Karner,,1970,Austria,118.7,225,-232.5,-232.5,225,225,120,Open,B,M,Raw,World Classic Bench Press Championships,2016-05-15,,,,,,,,,,,
32,Andreas Polednak,,1989,Austria,91.8,155,160,165,165,715,93,Open,SBD,M,Raw,World Classic Powerlifting Championships,2023-06-11,-230,230,245,245,285,305,-322.5,305,,,Austria
22,Michael Wimmesberger,,1992,Austria,82.6,152.5,-157.5,-157.5,152.5,685,83,Open,SBD,M,Raw,World Classic Powerlifting Championships,2023-06-11,235,245,252.5,252.5,260,280,-295,280,,,Austria
13,Thomas Jost #1,,1992,Austria,92.7,175,182.5,187.5,187.5,785,93,Open,SBD,M,Raw,World Classic Powerlifting Championships,2023-06-11,260,275,282.5,282.5,287.5,302.5,315,315,,,Austria
15,Michael Leitner,,1994,Austria,115.8,185,195,-202.5,195,820,120,Open,SBD,M,Raw,World Classic Powerlifting Championships,2023-06-11,272.5,287.5,-297.5,287.5,302.5,325,337.5,337.5,,,Austria
7,Joel Christopher Catena,,1996,Austria,65.8,150,-155,-155,150,632.5,66,Open,SBD,M,Raw,World Classic Powerlifting Championships,2023-06-11,207.5,220,227.5,227.5,230,245,255,255,,,Austria
17,Michael Pühringer,,1997,Austria,82.5,172.5,177.5,182.5,182.5,722.5,83,Open,SBD,M,Raw,World Classic Powerlifting Championships,2023-06-11,242.5,252.5,260,260,260,270,280,280,,,Austria
18,Alain Jost,,1997,Switzerland,71.7,140,147.5,-152.5,147.5,642.5,74,Open,SBD,M,Raw,World Classic Powerlifting Championships,2023-06-11,195,210,220,220,262.5,-275,275,275,,,Switzerland
21,Paul Egger,,1998,Austria,102.8,150,157.5,162.5,162.5,785,105,Open,SBD,M,Raw,World Classic Powerlifting Championships,2023-06-11,260,275,282.5,282.5,300,320,340,340,,,Austria
10,Alexander Renner,,1999,Austria,147.7,215,225,230,230,900,120+,Open,SBD,M,Raw,World Classic Powerlifting Championships,2023-06-11,285,305,310,310,310,345,360,360,,,Austria
8,Pantea Supanetz,,1990,Austria,62.9,100,105,107.5,107.5,457.5,63,Open,SBD,F,Raw,World Classic Powerlifting Championships,2023-06-11,157.5,-167.5,167.5,167.5,182.5,-195,-200,182.5,,,Austria
10,Jelena Bijelic,,1992,Austria,51.85,80,85,-90,85,395,52,Open,SBD,F,Raw,World Classic Powerlifting Championships,2023-06-11,122.5,130,135,135,165,175,-180,175,,,Austria
16,Christina Eggel,,1993,Austria,75.5,87.5,92.5,95,95,480,76,Open,SBD,F,Raw,World Classic Powerlifting Championships,2023-06-11,165,172.5,177.5,177.5,195,207.5,-212.5,207.5,,,Austria
9,Stefanie Gierlinger,,1994,Austria,121.35,105,-112.5,112.5,112.5,527.5,84+,Open,SBD,F,Raw,World Classic Powerlifting Championships,2023-06-11,187.5,197.5,205,205,200,210,-220,210,,,Austria
4,Thomas Wetzstein,,1974,Austria,92.8,177.5,185,-187.5,185.0,185,93,Masters 1,B,M,Raw,World Bench Press Championships,2021-10-22,,,,,,,,,,,
2,Michael Wegerer,,1970,Austria,81.8,137.5,142.5,-160,142.5,142.5,83,Masters 2,B,M,Raw,World Bench Press Championships,2021-10-22,,,,,,,,,,,
3,Pantea Supanetz,,1990,Austria,62.9,105,-107.5,-107.5,105.0,105,63,Open,B,F,Raw,World Bench Press Championships,2021-10-22,,,,,,,,,,,
2,Anja Adelmann,,1998,Austria,56.6,97.5,102.5,-107.5,102.5,102.5,57,Juniors,B,F,Raw,World Bench Press Championships,2021-10-22,,,,,,,,,,,
13,Kornelia Brunnhofer,,2000,Austria,66.78,72.5,77.5,-80,77.5,410,69,Juniors,SBD,F,Raw,World Junior and Sub-Junior Classic Championships,2023-08-27,130,140,147.5,147.5,170,182.5,185,185,,,
1,Hamza Demir,,2005,Austria,104.9,195,205,-214.5,205,836.5,105,Sub-Juniors,SBD,M,Raw,World Junior and Sub-Junior Classic Championships,2023-08-27,275,301,-310.5,301,315,330.5,-357.5,330.5,,,
7,Jürgen Kraushofer,,1993,Austria,73.61,155,162.5,-170,162.5,162.5,74,Open,B,M,Raw,World Classic Bench Press Championships,2018-05-14,,,,,,,,,,,
4,Markus Karner,,1970,Austria,118.79,-225,225,-235,225,225,120,Open,B,M,Raw,World Classic Bench Press Championships,2018-05-14,,,,,,,,,,,
8,Dakota Reich,,1998,Austria,68.21,80,85,-90,85,85,72,Juniors,B,F,Raw,World Classic Bench Press Championships,2018-05-14,,,,,,,,,,,
1,Alexander Renner,,1999,Austria,150.5,230.5,243.5,-252,243.5,943,120+,Open,SBD,M,Raw,FISU World University Powerlifting Championships,2024-07-23,300,325,332.5,332.5,325,354,367,367,,,
2,Rene Brunner,,1976,Austria,103.6,185,195,-202.5,195,772.5,105,Masters 1,SBD,M,Raw,World Classic Powerlifting Championships,2016-06-19,280,292.5,297.5,297.5,260,272.5,280,280,,,
20,Sven Sigrist,,1988,Switzerland,73.41,125,132.5,-140,132.5,600,74,Open,SBD,M,Raw,World Classic Powerlifting Championships,2017-06-14,185,200,207.5,207.5,225,245,260,260,,,
15,Filip Filipovic,,1994,Austria,82.51,147.5,157.5,162.5,162.5,612.5,83,Juniors,SBD,M,Raw,World Classic Powerlifting Championships,2017-06-14,197.5,217.5,225,225,-225,-225,225,225,,,
9,Matthias Wallner,,1994,Austria,91.71,170,175,-180,175,687.5,93,Juniors,SBD,M,Raw,World Classic Powerlifting Championships,2017-06-14,225,235,242.5,242.5,250,270,-280,270,,,
11,Christian Wenka,,1977,Austria,72.84,105,110,112.5,112.5,515,74,Masters 1,SBD,M,Raw,World Classic Powerlifting Championships,2017-06-14,165,175,180,180,215,222.5,-227.5,222.5,,,
4,Christian Klotz,,1977,Austria,91.44,187.5,192.5,-197.5,192.5,685,93,Masters 1,SBD,M,Raw,World Classic Powerlifting Championships,2017-06-14,215,225,232.5,232.5,240,255,260,260,,,
4,Bernd Kerschbaumer,,1965,Austria,131.67,-160,160,170,170,650,120+,Masters 2,SBD,M,Raw,World Classic Powerlifting Championships,2017-06-14,220,-240,-240,220,240,260,-277.5,260,,,
12,Magdalena Tanzer,,1979,Austria,56.16,60,65,-67.5,65,300,57,Open,SBD,F,Raw,World Classic Powerlifting Championships,2017-06-14,95,102.5,-107.5,102.5,122.5,132.5,-142.5,132.5,,,
5,Johannes Schober,,1985,Austria,73.1,120,125,130,130,570,74,Masters 1,SBD,M,Raw,World Classic & Equipped Masters Powerlifting Championships,2025-10-10,185,195,205,205,220,235,-245,235,,,
6,Rene Lieb,,1978,Austria,73.3,125,132.5,135,135,565,74,Masters 1,SBD,M,Raw,World Classic & Equipped Masters Powerlifting Championships,2025-10-10,192.5,205,210,210,205,220,-230,220,,,
11,Joel Christopher Catena,,1996,Austria,64.9,132.5,140,145,145,595,66,Open,SBD,M,Raw,World Classic Powerlifting Championships,2022-06-06,185,195,205,205,227.5,237.5,245,245,,,
16,René Hofer,,1997,Austria,92.25,160,165,167.5,167.5,767.5,93,Open,SBD,M,Raw,World Classic Powerlifting Championships,2022-06-06,265,280,-285,280,305,320,-327.5,320,,,
10,Barbara Gapp,,1981,Austria,51.7,65,-67.5,-67.5,65,357.5,52,Open,SBD,F,Raw,World Classic Powerlifting Championships,2022-06-06,-117.5,117.5,-125,117.5,175,-187.5,,175,,,
5,Pantea Supanetz,,1990,Austria,62.35,105,110,-112.5,110,472.5,63,Open,SBD,F,Raw,World Classic Powerlifting Championships,2022-06-06,162.5,167.5,172.5,172.5,190,-197.5,-197.5,190,,,
9,Raphaela Jungmann,,1987,Austria,68.1,100,-105,-105,100,467.5,69,Open,SBD,F,Raw,World Classic Powerlifting Championships,2022-06-06,167.5,175,-182.5,175,185,192.5,-202.5,192.5,,,
26,Alexander Taschner,,1989,Austria,92.85,157.5,162.5,167.5,167.5,677.5,93,Open,SBD,M,Raw,World Classic Powerlifting Championships,2019-06-04,210,220,227.5,227.5,272.5,282.5,-292.5,282.5,,,
10,Vinzenz Helmreich,,1990,Austria,103.5,162.5,170,175,175,780,105,Open,SBD,M,Raw,World Classic Powerlifting Championships,2019-06-04,265,277.5,285,285,295,320,-330,320,,,
11,Michael Leitner,,1994,Austria,118.45,185,-190,-190,185,790,120,Open,SBD,M,Raw,World Classic Powerlifting Championships,2019-06-04,265,277.5,282.5,282.5,305,322.5,-342.5,322.5,,,
11,Klaus Kaufmann,,1996,Austria,73,-130,135,140,140,580,74,Juniors,SBD,M,Raw,World Classic Powerlifting Championships,2019-06-04,202.5,212.5,-215,212.5,227.5,-235,-235,227.5,,,
13,Manuel Weberndorfer,,1998,Austria,81.45,117.5,125,127.5,127.5,570,83,Juniors,SBD,M,Raw,World Classic Powerlifting Championships,2019-06-04,195,207.5,215,215,210,222.5,227.5,227.5,,,
11,Paul Egger,,1998,Austria,92,132.5,137.5,-140,137.5,690,93,Juniors,SBD,M,Raw,World Classic Powerlifting Championships,2019-06-04,235,247.5,-257.5,247.5,280,295,305,305,,,
8,Jan Gebesmair,,1996,Austria,119.65,162.5,165,167.5,167.5,712.5,120,Juniors,SBD,M,Raw,World Classic Powerlifting Championships,2019-06-04,240,-247.5,-247.5,240,-305,305,-325,305,,,
13,Christian Wenka,,1977,Austria,73.95,107.5,112.5,-117.5,112.5,537.5,74,Masters 1,SBD,M,Raw,World Classic Powerlifting Championships,2019-06-04,172.5,185,190,190,-222.5,222.5,235,235,,,
7,Wolfgang Reitter,,1959,Austria,90.8,105,110,-112.5,110,447.5,93,Masters 3,SBD,M,Raw,World Classic Powerlifting Championships,2019-06-04,147.5,152.5,162.5,162.5,160,175,-180,175,,,
9,Barbara Gapp,,1981,Austria,51.55,55,-60,60,60,355,52,Open,SBD,F,Raw,World Classic Powerlifting Championships,2019-06-04,105,110,-112.5,110,172.5,180,185,185,,,
6,Desiree Schöpf,,2003,Austria,70.25,90,-95,-95,90,90,,Juniors,B,F,Raw,Euro Muscle Show,2024-07-13,,,,,,,,,,,
8,Harald Winter,,1973,Austria,149.36,115,125,-137.5,125,125,120+,Masters 2,B,M,Raw,World Classic & Equipped Bench Press Championships,2025-05-18,,,,,,,,,,,
3,Christian Klotz,,1977,Austria,104.64,195,202.5,210,210,210,105,Masters 1,B,M,Raw,World Classic & Equipped Bench Press Championships,2025-05-18,,,,,,,,,,,
13,Noel Gubler,,1996,Austria,119.29,205,210,-215,210,210,120,Open,B,M,Raw,World Classic & Equipped Bench Press Championships,2025-05-18,,,,,,,,,,,
6,Philipp Lehner,,2003,Austria,115.35,195,202.5,-210,202.5,202.5,120,Juniors,B,M,Raw,World Classic & Equipped Bench Press Championships,2025-05-18,,,,,,,,,,,
2,Phillip Nikolic,,2004,Austria,146.43,202.5,215,222.5,222.5,222.5,120+,Juniors,B,M,Raw,World Classic & Equipped Bench Press Championships,2025-05-18,,,,,,,,,,,
3,Jakob Grandl,,2005,Austria,91.36,190,195,200,200,200,93,Juniors,B,M,Raw,World Classic & Equipped Bench Press Championships,2025-05-18,,,,,,,,,,,
7,Sonja Ruess,,1998,Austria,62.19,107.5,-112.5,-112.5,107.5,107.5,63,Open,B,F,Raw,World Classic & Equipped Bench Press Championships,2025-05-18,,,,,,,,,,,
7,Desiree Schöpf,,2003,Austria,68.69,-90,92.5,97.5,97.5,97.5,69,Juniors,B,F,Raw,World Classic & Equipped Bench Press Championships,2025-05-18,,,,,,,,,,,
10,Lukas Kreuzer,,1999,Austria,81.55,170,180,-187.5,180,682.5,83,Juniors,SBD,M,Raw,World Junior Classic Powerlifting Championships,2022-08-31,225,235,240,240,240,252.5,262.5,262.5,,,
4,Alexander Renner,,1999,Austria,142.5,205,215,220,220,845,120+,Juniors,SBD,M,Raw,World Junior Classic Powerlifting Championships,2022-08-31,270,290,-305,290,302.5,335,-342.5,335,,,
9,Sophia Pilwax,,1999,Austria,64.5,87.5,92.5,-97.5,92.5,432.5,69,Juniors,SBD,F,Raw,World Junior Classic Powerlifting Championships,2022-08-31,140,147.5,155,155,175,-185,185,185,,,
1,Elisabeth Keiml,,1959,Austria,59.8,62.5,65,67.5,67.5,327.5,63,Masters 3,SBD,F,Raw,European Masters Classic Championships,2019-03-05,107.5,115,-120.5,115,125,135,145,145,,,
7,Alfred Faller,,1976,Austria,81,140,150,-152.5,150,575,83,Masters 1,SBD,M,Raw,European Masters Classic Championships,2019-03-05,175,187.5,-197.5,187.5,210,230,237.5,237.5,,,
5,Michael Musil,,1971,Austria,91.2,150,-160,-165,150,667.5,93,Masters 1,SBD,M,Raw,European Masters Classic Championships,2019-03-05,210,227.5,237.5,237.5,260,280,-287.5,280,,,
4,Christian Klotz,,1977,Austria,100.1,201,205,210,210,730,105,Masters 1,SBD,M,Raw,European Masters Classic Championships,2019-03-05,230,242.5,250,250,245,260,270,270,,,
2,Gernot Kasparek,,1975,Austria,118.8,212.5,220.5,-228.5,220.5,753,120,Masters 1,SBD,M,Raw,European Masters Classic Championships,2019-03-05,250,-262.5,262.5,262.5,250,262.5,270,270,,,
6,Franz Huemer,,1963,Austria,101.7,120,135,-142.5,135,510,105,Masters 2,SBD,M,Raw,European Masters Classic Championships,2019-03-05,170,175,-182.5,175,200,-220,-220,200,,,
4,Johannes Reiss,,1959,Austria,80.8,90,95,100,100,442.5,83,Masters 3,SBD,M,Raw,European Masters Classic Championships,2019-03-05,142.5,150,157.5,157.5,172.5,180,185,185,,,
7,Wolfgang Reitter,,1959,Austria,89.3,100,105,-107.5,105,452.5,93,Masters 3,SBD,M,Raw,European Masters Classic Championships,2019-03-05,147.5,160,167.5,167.5,155,170,180,180,,,
10,Ariane Schmelzenbart,,1990,Austria,61.13,60,65,-70,65,310,63,Open,SBD,F,Raw,1st European Women's Classic Championships,2015-03-21,100,107.5,112.5,112.5,120,127.5,132.5,132.5,,,
5,Marlene Sabathy,,1996,Austria,54.12,60,-65,65,65,285,57,Juniors,SBD,F,Raw,1st European Women's Classic Championships,2015-03-21,110,117.5,120,120,100,-107.5,-112.5,100,,,
6,Bianca Sullivan,,1986,Austria,83.69,112.5,117.5,-120,117.5,502.5,84,Open,SBD,F,Raw,European Open Classic Powerlifting Championships,2024-03-12,172.5,180,185,185,190,200,-217.5,200,,,
6,Raphaela Jungmann,,1987,Austria,68.05,107.5,-112.5,-112.5,107.5,485,69,Open,SBD,F,Raw,European Open Classic Powerlifting Championships,2024-03-12,172.5,180,185,185,192.5,-200,-202.5,192.5,,,
3,Jelena Bijelic,,1992,Austria,51.2,85,90,95,95,405,52,Open,SBD,F,Raw,European Open Classic Powerlifting Championships,2024-03-12,125,130,135,135,165,172.5,175,175,,,
4,Stefanie Gierlinger,,1994,Austria,126.51,107.5,115,117.5,117.5,550,84+,Open,SBD,F,Raw,European Open Classic Powerlifting Championships,2024-03-12,195,205,210,210,200,215,222.5,222.5,,,
